$id,name,description,condition,grade,exclusive,status,effect:SPR,effect:MNY,effect:CHR,effect:STR,effect:INT,effect:RDM,replacement:grade[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],replacement:talent[],exclude[],exclude[],exclude[],exclude[],exclude[],exclude[],exclude[],exclude[]
序号,天赋名,括号中的内容,触发条件,稀有度,专属天赋,初始可用属性点,额外快乐,额外家境,额外颜值,额外体质,额外智力,随机属性,替换成某稀有度的天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,替换成某天赋,互斥天赋,互斥天赋,互斥天赋,互斥天赋,互斥天赋,互斥天赋,互斥天赋,互斥天赋
1001,随身玉佩,或许有护佑作用,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1002,红肚兜,小时候死亡率降低,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1003,生而为男,性别一定为男,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1004,1025,1024,,,,,
1004,生而为女,性别一定为女,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1003,1024,1025,,,,,
1005,动漫高手,入宅的可能性翻6倍,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1006,乐观,快乐+1,,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,天赋异禀,初始可用属性点+2,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,天生抑郁,快乐-3,,0,,,-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1009,网络巨魔,快乐+2,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1010,天龙人,你拥有北京户口,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,1012,1013,1014,,,,,
1011,独生子女,你没有兄弟姐妹,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1012,乡间微风,你出生在农村,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1010,1013,1014,,,,,
1013,城中高楼,你出生在城市,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1010,1012,1014,,,,,
1014,美籍华人,你有美国国籍,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,1010,1012,1013,,,,,
1015,家中老大,你最受父母宠爱,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1016,水性良好,不会被淹死,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017,先天免疫,你不会得艾滋病,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018,人类进化,所有属性+1,,2,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1019,超凡,初始可用属性点+4,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1020,父母美貌,颜值+2,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1021,红颜薄命,颜值+2，体质-2,,0,,,,,2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1022,属蛇,不会被蛇咬死,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,半神,所有属性+2,,3,,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1024,人中龙凤,天生双重性别,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1003,1004,1025,,,,,
1025,阴阳之外,天生无性别,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1003,1024,1004,1113,,,,
1026,彩虹之下,可能和同性交往,,0,,,,,,,,,,,,,,,,,,,,,,,,,,1113,,,,,,,
1027,斩情证道,终生不恋爱结婚,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1113,,,,,,,
1028,桃花连连,恋爱机会提升,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1029,平安童年,12岁前父母都健在,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1030,宠物大师,宠物不会意外死亡,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,天生残疾,体质-2,,0,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1032,早产儿,所有属性-1,,0,,,-1,-1,-1,-1,-1,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,十死无生,体质-10,,0,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,家运不顺,家境-2,,0,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,头着地,智力-2,,0,,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
1036,胎教,智力+1,,0,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1037,班中红人,和同学容易处好关系,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1038,骑士,能轻松学会骑车,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,永远的神,电竞天才,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1040,戒律,赌毒不沾,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,丁克,不生孩子,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1113,,,,,,,
1042,少数民族,高考+5分,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,老司机,你和家人不会发生车祸,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,低压,你的家人不会心脏病,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1045,战功,你退伍后会当官,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1046,不孕不育,你生不出孩子,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1113,,,,,,,
1047,白头偕老,爱人至少能活到70岁,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1048,神秘的小盒子,100岁时才能开启,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,三十而立,30岁时家境+2,AGE?[30],0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,四十不惑,40岁时智力+2,AGE?[40],0,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,知天命,50岁时智力、快乐+1,AGE?[50],0,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,耳顺,60岁时快乐+2,AGE?[60],0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,从心所欲,70岁时快乐+3,AGE?[70],0,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,老当益壮,60岁时体质+2,AGE?[60],1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1055,鹤发童颜,70岁时颜值+3,AGE?[70],0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,学前启蒙,5岁时智力+2,AGE?[5],1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,十八变,18岁时颜值+2,AGE?[18],1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,迟来之财,90岁时家境+4,AGE?[90],0,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1059,理财达人,40岁时家境+3,AGE?[40],0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,成熟,18岁时智力+2,AGE?[18],1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1061,形象管理,24岁时颜值+2,AGE?[24],1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1062,成年礼,18岁时快乐+1,AGE?[18],0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1063,开光之胎,初始可用属性点+1,,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1064,天命,初始可用属性点+8,,3,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1065,祖传药丸,功能不明,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1066,精准扶贫,家境为0时家境+1,(MNY<1)&(MNY>-1),0,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1067,乐天派,快乐为0时快乐+1,(SPR<1)&(SPR>-1),1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1068,命悬一线,体质为0时体质+1,(STR<1)&(STR>-1),0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1069,智可生财,若20岁时智力>8，家境+2,(AGE?[20])&(INT>8),0,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1070,舔狗甚多,若20岁时颜值>8，快乐+2,(AGE?[20])&(CHR>8),0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1071,保胎丸,你不会胎死腹中,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1072,白化病,你不会遭遇枪击,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1073,佛宗,考上哈佛大学的几率提高,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1074,悟道,智力>10时快乐+3,INT>10,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1075,驻颜,体质>10时颜值+3,STR>10,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1076,界限突破,体质>10时快乐+3,STR>10,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1077,倾城,颜值>10时快乐+3,CHR>10,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1078,训练有方,智力>10时体质+3,INT>10,0,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,相由心生,智力>10时颜值+3,INT>10,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1080,智多鑫,智力>10时家境+3,INT>10,0,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1081,灵光,快乐>10时其他属性+1,SPR>10,0,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1082,天启,快乐>10时其他属性+2,SPR>10,1,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1083,神谕,快乐>10时其他属性+3,SPR>10,2,,,,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,
1084,献祭,初始可用属性点-2，快乐+2,,0,,-2,2,,,,,,,,,,,,,,,,,,,,,,,1122,,,,,,,
1085,幸运儿,初始可用属性点-3，快乐+5,,1,,-3,5,,,,,,,,,,,,,,,,,,,,,,,1122,,,,,,,
1086,挑战者,初始可用点-10,,0,,-10,,,,,,,,,,,,,,,,,,,,,,,,1122,,,,,,,
1087,你不懂,家境>10时快乐+3,MNY>10,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1088,整容,家境>10时颜值+3,MNY>10,0,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1089,钻石健身卡,家境>10时体质+3,MNY>10,0,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1090,身残志坚,体质<0时其他属性+1,STR<0,0,,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1091,活死人,体质<0时其他属性+2,STR<0,1,,,2,2,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1092,开一扇窗,颜值<0时其他属性+1,CHR<0,0,,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1093,大额头,颜值-2，智力+2,,0,,,,,-2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1094,痘痘脸,颜值-1,,0,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1095,潜能,家境<0时其他属性+1,MNY<0,0,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1096,哀兵,快乐<0时其他属性+1,SPR<0,0,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1097,苦痛侍僧,快乐<-1时其他属性+2,SPR<-1,1,,,,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1098,艰苦奋斗,家境<-1时其他属性+2,MNY<-1,1,,,2,,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1099,抖M,家境-2，快乐+2,,0,,,2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1100,海的女儿,颜值-2，初始可用属性点+1,,0,,1,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1101,进阶,所有属性>5时，所有属性+1,(SPR>5)&(MNY>5)&(CHR>5)&(STR>5)&(INT>5),0,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1102,超进化,所有属性>5时，所有属性+2,(SPR>5)&(MNY>5)&(CHR>5)&(STR>5)&(INT>5),1,,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1103,白色胶囊,你10岁时无事发生,AGE?[10],0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1104,紫色胶囊,跳过你的40~50岁,AGE?[40],2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1105,蓝色胶囊,你20岁和30岁时无事发生,"AGE?[20,30]",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1106,健康饮食,你不吃洋快餐,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1107,不想罢了,你不会上清华大学,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1108,挑衅,你喜欢没事找事,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1109,旅行者,你喜欢旅游,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1110,水仙,你比较自恋,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1111,缺一门,无效果,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1112,异界来客,你可能听到一些绝密消息,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1113,三胎人生,你尽可能生三胎,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1003,1025,1026,1027,1041,1046,,
1114,橙色胶囊,跳过你的60~90岁,AGE?[60],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1115,宙斯,参加奥赛的几率提高,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1116,为人民服务,考公务员时一定能考上,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1117,表现良好,入狱会减刑,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1118,小吉,运气稍微提升,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119,天秤座,据说做事很公平,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1120,万里挑一,你很攻,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1121,把握不住,你有强迫症,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1122,急了急了,赶着投胎，不要初始属性了,,1,,-20,,,,,,,,,,,,,,,,,,,,,,,,1084,1085,1086,,,,,
1123,不离不弃,你不会离婚,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1124,足量,身高不矮,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1125,易胖体质,颜值更容易降低,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1126,偏见,种族主义者,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1127,左撇子,习惯使用左手,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1128,克苏鲁,&◆￥#@■.◆,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1129,不连续存在,你还拥有其他人格,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1130,占位符,少一个可选天赋,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1131,魔法棒,不知道有什么用……,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1132,返老还童,可能会回到年轻的时候,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1133,时光倒流,或许时间会倒流,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1134,转世重修,渡劫失败重生,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135,轮回之外,死后可能灵魂离体,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1136,贪婪,家境+10,,0,,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,,,
1137,百岁百世丸,某条件下所有属性+2,(AGE?[100])&(TMS>99),1,,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,
1138,意外之喜,随机属性+1,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
1139,培养爱好,随机属性+2,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
1140,觉醒,随机属性+4,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
1141,阴间大会员,随机属性+8,,3,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,
1142,蓝色转盘,变成随机蓝色天赋,,0,,,,,,,,,1,,,,,,,,,,,,,,,,,1012,1013,1014,1110,1003,1004,1124,1125
1143,紫色转盘,变成随机紫色天赋,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,1012,1013,1014,1110,1003,1004,1124,1125
1144,橙色转盘,变成随机橙色天赋,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
1145,阴间福袋,可能开出好天赋,,1,,,,,,,,,,1138,1133,1125,1128,1129,1131,1111,1108,1071,1072,1044,1039,1040,1033,1031,1002,,,,,,,,
1146,轮盘赌,1/6几率变橙色天赋,,1,,,,,,,,,,1141*0.2,1135*0.2,1114*0.2,1023*0.2,1048*0.2,1033*5,1147*0.2,,,,,,,,,,,,,,,,,
1147,死者苏生,加一条命,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1148,恶魔的交易,所有属性-2，加一条命,,2,,,-2,-2,-2,-2,-2,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,霸王,体质+4,,2,1,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,国色,颜值+4,,2,1,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,兼爱,你很受,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,树人,你还有别的名字,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,圆周率,3.1415926,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,？,？？？,,1,1,,,,,,,,2,,,,,,,,,,,,,,,,,1012,1013,1014,1110,1003,1004,1124,1125
2007,？,？？？,STR<0,0,1,,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,？,？？？,(SPR>5)&(MNY>5)&(CHR>5)&(STR>5)&(INT>5),0,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,白色转盘,变成随机白色天赋,,0,1,,,,,,,,0,,,,,,,,,,,,,,,,,1012,1013,1014,1110,1003,1004,1124,1125
2010,白色转盘,变成随机白色天赋,,0,1,,,,,,,,0,,,,,,,,,,,,,,,,,1012,1013,1014,1110,1003,1004,1124,1125
2011,白色转盘,变成随机白色天赋,,0,1,,,,,,,,0,,,,,,,,,,,,,,,,,1012,1013,1014,1110,1003,1004,1124,1125
2012,白色转盘,变成随机白色天赋,,0,1,,,,,,,,0,,,,,,,,,,,,,,,,,1012,1013,1014,1110,1003,1004,1124,1125
2013,白色转盘,变成随机白色天赋,,0,1,,,,,,,,0,,,,,,,,,,,,,,,,,1012,1013,1014,1110,1003,1004,1124,1125
2014,连续可导,你没有其他人格,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,绝妙的天赋,可惜这里写不下,,3,1,1,5,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2016,叠加态,变成橙色天赋或死,,2,1,,,,,,,,,1141,1135,1114,1023,1048,1033*6,1147,,,,,,,,,,,,,,,,,
2017,木大,遗言很有名,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,高产,60岁时体质-2,AGE?[60],0,1,,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,杠杆,理财天赋较高,AGE?[20],1,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,物理,30岁时颜值-2,AGE?[30],0,1,,,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,阳间福袋,更可能开出好天赋,,2,1,,,,,,,,,1142,1139,1140,1141,1128,1131,1104,1048,1134,1135,1107,1080,1065,1148,,,,,,,,,,
2022,洞穴寓言,可能发现世界的真相,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,天赋综合判断,天赋不能多于5个,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,诺贝尔奖,得过诺贝尔奖可复活一次,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025,二号橙色转盘,变成随机橙色天赋,,2,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
2026,流芳,有悲剧时，所有属性+1,TLT?[2028],1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,百世,随机抽一部剧,,1,1,,,,,,,,,2028,2029,2030,2031,2032,2033,2034,2035,,,,,,,,,,,,,,,,
2028,哈姆雷特,快乐-2,,1,1,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2029,李尔王,快乐-2,,1,1,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,麦克白,快乐-2,,1,1,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2031,奥赛罗,快乐-2,,1,1,,-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2032,仲夏夜之梦,快乐+114509,,1,1,,114509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2033,威尼斯商人,快乐+2,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2034,第十二夜,快乐+2,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2035,皆大欢喜,快乐+2,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2036,永不言弃,你永远不会放弃,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
